Timestamp,In which city or town are you renting a property?,Select the level of population density where the property you're renting is located,"Is the property located in a cluster setting, whereby there are many houses/ buildings in the same yard/compound?",Is the house/property insured against accidents?,Do you share the house/property with others?,How many rooms of the property are you using,What are you using the property for?,In what currency do you pay your rentals?,How much do pay for the property/house/room that you're are renting,"Is your monthly rental fee inclusive of utility bills(electricity, water, etc)",Tick services that you are allowed to use on the property that you are renting
4/9/2019 22:49,Harare,Low density,No,No,"Yes, I share with others",8,Residential,USD,650,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, Fiber internet connection, DuraWall, Fence, Bulgar Alarm/Electric fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Swimming Pool, Vegetable garden space, Veranda"
4/10/2019 16:11,Harare,Medium density,No,Not Sure,"Yes, I share with others",1,Residential,RTGS$,200,It does not include utility bills. I have to pay them separately after paying rent,"Borehole, Electricity, Fiber internet connection, ADSL intent connection, DuraWall, Fence, Landline Phone, Guarding Services, Bulgar Alarm/Electric fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Swimming Pool, Vegetable garden space, Car garage, Tree house, tennis court, Basketball court, Generator, Veranda"
4/12/2019 17:20,Harare,Low density,No,No,"Yes, I share with others",1,Residential,RTGS$,300,It includes utility bills,"Borehole, Electricity, DuraWall, Remote controlled gate"
4/12/2019 17:21,Harare,Low density,No,No,"Yes, I share with others",4,Residential,RTGS$,990,It does not include utility bills. I have to pay them separately after paying rent,"DuraWall, Remote controlled gate, Intercom"
4/12/2019 21:40,Harare,Low density,No,Not Sure,"Yes, I share with others",2,Residential,USD,160,It includes utility bills,"Borehole, Electricity, Fiber internet connection, DuraWall, Fence, Car garage"
4/12/2019 21:49,Harare,Medium density,No,No,No I do not not share it with any one.,10,Residential,USD,200,It includes utility bills,"Electricity, DuraWall, Vegetable garden space, Car garage, Veranda"
4/12/2019 22:22,Harare,High density,No,Not Sure,No I do not not share it with any one.,6,Residential,RTGS$,600,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, Fiber internet connection, DuraWall, Vegetable garden space, Veranda"
4/13/2019 15:32:32,Harare,Medium density,No,No,"Yes, I share with others",2,Residential,RTGS$,200,It includes utility bills,"Borehole, Electricity, DuraWall, Car garage"
4/13/2019 16:46:02,Harare,Low density,No,Yes,"Yes, I share with others",1,Residential,RTGS$,100,It includes utility bills,"Borehole, Electricity, Fiber internet connection, DuraWall, Guarding Services, Bulgar Alarm/Electric fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Swimming Pool, Vegetable garden space, Car garage, Tree house, tennis court, Basketball court, Generator, Veranda"
4/14/2019 21:26:48,Harare,Low density,No,No,"Yes, I share with others",1,Residential,RTGS$,160,It includes utility bills,"Borehole, Electricity, DuraWall, Fence"
4/14/2019 22:11:09,Harare,Low density,No,No,No I do not not share it with any one.,2,Residential,RTGS$,300,It includes utility bills,"Borehole, Electricity, DuraWall, Landline Phone, Guarding Services, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Vegetable garden space, Veranda"
4/15/2019 10:09:15,Harare,Medium density,No,Not Sure,"Yes, I share with others",3,Residential,RTGS$,900,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, DuraWall, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Vegetable garden space, Car garage"
4/15/2019 11:20:07,Harare,Low density,Yes,No,"Yes, I share with others",2,Residential,RTGS$,300,It includes utility bills,"Borehole, Electricity, DuraWall, Landline Phone"
